frame_start,frame_end,skipped_frames,skip_used,success,reason
0,1.0,[],1.0,True,
1,2.0,[],1.0,True,
2,3.0,[],1.0,True,
3,4.0,[],1.0,True,
4,5.0,[],1.0,True,
5,6.0,[],1.0,True,
6,8.0,[7],2.0,True,
8,10.0,[9],2.0,True,
10,11.0,[],1.0,True,
11,12.0,[],1.0,True,
12,13.0,[],1.0,True,
13,14.0,[],1.0,True,
14,15.0,[],1.0,True,
15,16.0,[],1.0,True,
16,17.0,[],1.0,True,
17,18.0,[],1.0,True,
18,19.0,[],1.0,True,
19,20.0,[],1.0,True,
20,21.0,[],1.0,True,
21,22.0,[],1.0,True,
22,23.0,[],1.0,True,
23,24.0,[],1.0,True,
24,25.0,[],1.0,True,
25,26.0,[],1.0,True,
26,27.0,[],1.0,True,
27,28.0,[],1.0,True,
28,29.0,[],1.0,True,
29,30.0,[],1.0,True,
30,31.0,[],1.0,True,
31,32.0,[],1.0,True,
32,33.0,[],1.0,True,
33,34.0,[],1.0,True,
34,35.0,[],1.0,True,
35,36.0,[],1.0,True,
36,37.0,[],1.0,True,
37,,[38],,False,Pose estimation failed
